id,nome,raca,caminho_imagem
11714098,"30,000-Year White Turtle",Aqua,imagens\Aqua\11714098.jpg
18318842,Abyss Soldier,Aqua,imagens\Aqua\18318842.jpg
88409165,Abyss Warrior,Aqua,imagens\Aqua\88409165.jpg
17080584,"Abyssrhine, the Atlantean Spirit",Aqua,imagens\Aqua\17080584.jpg
46358784,Advanced Crystal Beast Emerald Tortoise,Aqua,imagens\Aqua\46358784.jpg
36904469,Akihiron,Aqua,imagens\Aqua\36904469.jpg
95174353,Ameba,Aqua,imagens\Aqua\95174353.jpg
40173854,Amphibious Bugroth,Aqua,imagens\Aqua\40173854.jpg
12436646,Aqua Snake,Aqua,imagens\Aqua\12436646.jpg
40916023,Aqua Spirit,Aqua,imagens\Aqua\40916023.jpg
92053608,Aquaactress Arowana,Aqua,imagens\Aqua\92053608.jpg
66668900,Aquaactress Guppy,Aqua,imagens\Aqua\66668900.jpg
39260991,Aquaactress Tetra,Aqua,imagens\Aqua\39260991.jpg
22377815,Aquarian Alessa,Aqua,imagens\Aqua\22377815.jpg
36151751,Arma Knight,Aqua,imagens\Aqua\36151751.jpg
17535588,Armored Starfish,Aqua,imagens\Aqua\17535588.jpg
7913375,Artillery Catapult Turtle,Aqua,imagens\Aqua\7913375.jpg
10963799,Barrier Statue of the Torrent,Aqua,imagens\Aqua\10963799.jpg
99426834,Beastking of the Swamps,Aqua,imagens\Aqua\99426834.jpg
49522489,Beelze Frog,Aqua,imagens\Aqua\49522489.jpg
94022093,Behegon,Aqua,imagens\Aqua\94022093.jpg
60161788,"Blizzed, Defender of the Ice Barrier",Aqua,imagens\Aqua\60161788.jpg
98456117,Boneheimer,Aqua,imagens\Aqua\98456117.jpg
9540040,Boulder Tortoise,Aqua,imagens\Aqua\9540040.jpg
95614612,Cannonball Spear Shellfish,Aqua,imagens\Aqua\95614612.jpg
95727991,Catapult Turtle,Aqua,imagens\Aqua\95727991.jpg
47346782,Centerfrog,Aqua,imagens\Aqua\47346782.jpg
18914778,Change Slime,Aqua,imagens\Aqua\18914778.jpg
81599449,Chemicritter Carbo Crab,Aqua,imagens\Aqua\81599449.jpg
57610714,Cloudian - Eye of the Typhoon,Aqua,imagens\Aqua\57610714.jpg
24661486,Cold Enchanter,Aqua,imagens\Aqua\24661486.jpg
91782219,Crab Turtle,Aqua,imagens\Aqua\91782219.jpg
23950192,Cryomancer of the Ice Barrier,Aqua,imagens\Aqua\23950192.jpg
68215963,Crystal Beast Emerald Tortoise,Aqua,imagens\Aqua\68215963.jpg
86999951,Crystal God Tistina,Aqua,imagens\Aqua\86999951.jpg
61374414,CXyz N.As.Ch. Knight,Aqua,imagens\Aqua\61374414.jpg
9910360,D.3.S. Frog,Aqua,imagens\Aqua\9910360.jpg
70711847,Danger! Nessie!,Aqua,imagens\Aqua\70711847.jpg
17559367,Deep Diver,Aqua,imagens\Aqua\17559367.jpg
82498947,Defender of the Ice Barrier,Aqua,imagens\Aqua\82498947.jpg
59504256,Demigod of the Tistina,Aqua,imagens\Aqua\59504256.jpg
84451804,Des Frog,Aqua,imagens\Aqua\84451804.jpg
90311614,Dewdark of the Ice Barrier,Aqua,imagens\Aqua\90311614.jpg
69436288,Doom Kraken,Aqua,imagens\Aqua\69436288.jpg
24194033,Dorover,Aqua,imagens\Aqua\24194033.jpg
24137081,Drill Barnacle,Aqua,imagens\Aqua\24137081.jpg
46239604,Dupe Frog,Aqua,imagens\Aqua\46239604.jpg
42166000,Egyptian God Slime,Aqua,imagens\Aqua\42166000.jpg
95824983,Electric Jellyfish,Aqua,imagens\Aqua\95824983.jpg
24326617,Escher the Frost Vassal,Aqua,imagens\Aqua\24326617.jpg
45222299,Evigishki Gustkraken,Aqua,imagens\Aqua\45222299.jpg
71203602,Evigishki Levianima,Aqua,imagens\Aqua\71203602.jpg
76372778,Evigishki Merrowgeist,Aqua,imagens\Aqua\76372778.jpg
11877465,Evigishki Mind Augus,Aqua,imagens\Aqua\11877465.jpg
57272170,Evigishki Soul Ogre,Aqua,imagens\Aqua\57272170.jpg
21496848,Evigishki Tetrogre,Aqua,imagens\Aqua\21496848.jpg
40921545,Evilswarm Ketos,Aqua,imagens\Aqua\40921545.jpg
81563416,Fairy of the Fountain,Aqua,imagens\Aqua\81563416.jpg
87498729,Fallen of the Tistina,Aqua,imagens\Aqua\87498729.jpg
77456781,Fiend Kraken,Aqua,imagens\Aqua\77456781.jpg
46534755,Fire Kraken,Aqua,imagens\Aqua\46534755.jpg
81278754,Flip Flop Frog,Aqua,imagens\Aqua\81278754.jpg
5628232,Flying Penguin,Aqua,imagens\Aqua\5628232.jpg
85359414,Freezing Beast,Aqua,imagens\Aqua\85359414.jpg
67630394,Full Armored Dark Knight Lancer,Aqua,imagens\Aqua\67630394.jpg
13289758,"Gaia Stream, the Graceful Force",Aqua,imagens\Aqua\13289758.jpg
55063751,"Gameciel, the Sea Turtle Kaiju",Aqua,imagens\Aqua\55063751.jpg
97783338,Gate Guardian of Water and Thunder,Aqua,imagens\Aqua\97783338.jpg
71616908,Gem-Knight Amethyst,Aqua,imagens\Aqua\71616908.jpg
13108445,Gem-Knight Aquamarine,Aqua,imagens\Aqua\13108445.jpg
45662855,Gem-Knight Iolite,Aqua,imagens\Aqua\45662855.jpg
27126980,Gem-Knight Sapphire,Aqua,imagens\Aqua\27126980.jpg
4904812,Genex Undine,Aqua,imagens\Aqua\4904812.jpg
58831685,Giant Red Seasnake,Aqua,imagens\Aqua\58831685.jpg
96981563,Giant Turtle Who Feeds on Flames,Aqua,imagens\Aqua\96981563.jpg
39905966,Gishki Marker,Aqua,imagens\Aqua\39905966.jpg
19959742,Gishki Mollusk,Aqua,imagens\Aqua\19959742.jpg
37557626,Gishki Reliever,Aqua,imagens\Aqua\37557626.jpg
93506862,Gishki Vanity,Aqua,imagens\Aqua\93506862.jpg
66729231,Gishki Zielgigas,Aqua,imagens\Aqua\66729231.jpg
43175027,Glacial Beast Blizzard Wolf,Aqua,imagens\Aqua\43175027.jpg
6568731,Glacial Beast Iceberg Narwhal,Aqua,imagens\Aqua\6568731.jpg
79169622,Glacial Beast Polar Penguin,Aqua,imagens\Aqua\79169622.jpg
612115,Gladiator Beast Retiari,Aqua,imagens\Aqua\612115.jpg
65892585,Gold Pride - Chariot Carrie,Aqua,imagens\Aqua\65892585.jpg
80233946,Gora Turtle,Aqua,imagens\Aqua\80233946.jpg
42868711,Gora Turtle of Illusion,Aqua,imagens\Aqua\42868711.jpg
66451379,Graydle Alligator,Aqua,imagens\Aqua\66451379.jpg
93445074,Graydle Cobra,Aqua,imagens\Aqua\93445074.jpg
52145422,Graydle Dragon,Aqua,imagens\Aqua\52145422.jpg
29834183,Graydle Eagle,Aqua,imagens\Aqua\29834183.jpg
20056760,Graydle Slime,Aqua,imagens\Aqua\20056760.jpg
80250319,Graydle Slime Jr.,Aqua,imagens\Aqua\80250319.jpg
65623423,Gruesome Goo,Aqua,imagens\Aqua\65623423.jpg
15771991,Guardian Slime,Aqua,imagens\Aqua\15771991.jpg
61027400,Gunkan Suship Ikura,Aqua,imagens\Aqua\61027400.jpg
75215744,Gunkan Suship Ikura-class Dreadnought,Aqua,imagens\Aqua\75215744.jpg
24639891,Gunkan Suship Shari,Aqua,imagens\Aqua\24639891.jpg
63748694,Gunkan Suship Shari Red,Aqua,imagens\Aqua\63748694.jpg
78362751,Gunkan Suship Shirauo,Aqua,imagens\Aqua\78362751.jpg
21293424,Gunkan Suship Shirauo-class Carrier,Aqua,imagens\Aqua\21293424.jpg
42377643,Gunkan Suship Uni,Aqua,imagens\Aqua\42377643.jpg
94798725,Gunkan Suship Uni-class Super-Dreadnought,Aqua,imagens\Aqua\94798725.jpg
90365482,"Hebo, Lord of the River",Aqua,imagens\Aqua\90365482.jpg
67466547,"Helmer, Helmsman Fur Hire",Aqua,imagens\Aqua\67466547.jpg
54579801,High Tide Gyojin,Aqua,imagens\Aqua\54579801.jpg
46718686,Hitodenchak,Aqua,imagens\Aqua\46718686.jpg
13510157,Hound of the Tistina,Aqua,imagens\Aqua\13510157.jpg
46821314,Humanoid Slime,Aqua,imagens\Aqua\46821314.jpg
5600127,Humanoid Worm Drake,Aqua,imagens\Aqua\5600127.jpg
2118022,Hyosube,Aqua,imagens\Aqua\2118022.jpg
95929069,Ice Hand,Aqua,imagens\Aqua\95929069.jpg
99328137,Ice Knight,Aqua,imagens\Aqua\99328137.jpg
20848593,Ice Water,Aqua,imagens\Aqua\20848593.jpg
82777208,Icejade Acti,Aqua,imagens\Aqua\82777208.jpg
39354437,Icejade Aegirine,Aqua,imagens\Aqua\39354437.jpg
1295442,Icejade Creation Aegirocassis,Aqua,imagens\Aqua\1295442.jpg
66749546,Icejade Creation Kingfisher,Aqua,imagens\Aqua\66749546.jpg
86682165,Icejade Gymir Aegirine,Aqua,imagens\Aqua\86682165.jpg
3355732,Icejade Kosmochlor,Aqua,imagens\Aqua\3355732.jpg
18494511,Icejade Ran Aegirine,Aqua,imagens\Aqua\18494511.jpg
28762303,Icejade Tinola,Aqua,imagens\Aqua\28762303.jpg
55151012,Icejade Tremora,Aqua,imagens\Aqua\55151012.jpg
65877963,Impcantation Chalislime,Aqua,imagens\Aqua\65877963.jpg
4042268,Island Turtle,Aqua,imagens\Aqua\4042268.jpg
14851496,Jellyfish,Aqua,imagens\Aqua\14851496.jpg
28642461,K9 - 66a Jokull,Aqua,imagens\Aqua\28642461.jpg
84103702,Kanikabuto,Aqua,imagens\Aqua\84103702.jpg
48109103,Kappa Avenger,Aqua,imagens\Aqua\48109103.jpg
79109599,King of the Swamp,Aqua,imagens\Aqua\79109599.jpg
31692182,Koa'ki Meiru Hydro Barrier,Aqua,imagens\Aqua\31692182.jpg
54520292,Koa'ki Meiru Ice,Aqua,imagens\Aqua\54520292.jpg
10736540,Lady of the Lake,Aqua,imagens\Aqua\10736540.jpg
95992081,Leviair the Sea Dragon,Aqua,imagens\Aqua\95992081.jpg
93108297,Liquid Beast,Aqua,imagens\Aqua\93108297.jpg
54257392,Live☆Twin Ki-sikil Frost,Aqua,imagens\Aqua\54257392.jpg
97240270,Mad Lobster,Aqua,imagens\Aqua\97240270.jpg
3918345,Magical Reflect Slime,Aqua,imagens\Aqua\3918345.jpg
67694706,Magicolloidal Sol,Aqua,imagens\Aqua\67694706.jpg
17214465,Maiden of the Aqua,Aqua,imagens\Aqua\17214465.jpg
71466592,Maryokutai,Aqua,imagens\Aqua\71466592.jpg
54207171,Mementotlan Akihiron,Aqua,imagens\Aqua\54207171.jpg
24435369,Mermaid Knight,Aqua,imagens\Aqua\24435369.jpg
75180828,Mermail Abyssbalaen,Aqua,imagens\Aqua\75180828.jpg
74298287,Mermail Abyssdine,Aqua,imagens\Aqua\74298287.jpg
74371660,Mermail Abyssgaios,Aqua,imagens\Aqua\74371660.jpg
69293721,Mermail Abyssgunde,Aqua,imagens\Aqua\69293721.jpg
96682430,Mermail Abysshilde,Aqua,imagens\Aqua\96682430.jpg
23899727,Mermail Abysslinde,Aqua,imagens\Aqua\23899727.jpg
71133680,Mermail Abyssnerei,Aqua,imagens\Aqua\71133680.jpg
28577986,Mermail Abyssocea,Aqua,imagens\Aqua\28577986.jpg
22446869,Mermail Abyssteus,Aqua,imagens\Aqua\22446869.jpg
7369217,Metallizing Parasite - Lunatite,Aqua,imagens\Aqua\7369217.jpg
87564935,Metallizing Parasite - Soltite,Aqua,imagens\Aqua\87564935.jpg
30373970,Miasma Dragon Tistina,Aqua,imagens\Aqua\30373970.jpg
80551022,Mimighoul Slime,Aqua,imagens\Aqua\80551022.jpg
9396662,Mirror Mage of the Ice Barrier,Aqua,imagens\Aqua\9396662.jpg
65170459,Mistar Boy,Aqua,imagens\Aqua\65170459.jpg
4929256,Mobius the Frost Monarch,Aqua,imagens\Aqua\4929256.jpg
23689697,Mobius the Mega Monarch,Aqua,imagens\Aqua\23689697.jpg
15820147,Monsturtle,Aqua,imagens\Aqua\15820147.jpg
70307656,Mucus Yolk,Aqua,imagens\Aqua\70307656.jpg
84192580,Mulcharmy Purulia,Aqua,imagens\Aqua\84192580.jpg
34876719,N.As.H. Knight,Aqua,imagens\Aqua\34876719.jpg
46606977,Nemeses Umbrella,Aqua,imagens\Aqua\46606977.jpg
78402798,Night Lizard,Aqua,imagens\Aqua\78402798.jpg
81306586,Nightmare Penguin,Aqua,imagens\Aqua\81306586.jpg
32623004,Nopenguin,Aqua,imagens\Aqua\32623004.jpg
48739166,Number 101: Silent Honor ARK,Aqua,imagens\Aqua\48739166.jpg
57707471,Number 21: Frozen Lady Justice,Aqua,imagens\Aqua\57707471.jpg
67557908,Number 4: Stealth Kragen,Aqua,imagens\Aqua\67557908.jpg
12744567,Number C101: Silent Honor DARK,Aqua,imagens\Aqua\12744567.jpg
83061014,Numen erat Testudo,Aqua,imagens\Aqua\83061014.jpg
74637266,Octoberser,Aqua,imagens\Aqua\74637266.jpg
58861941,Ooguchi,Aqua,imagens\Aqua\58861941.jpg
58538870,Oppressed People,Aqua,imagens\Aqua\58538870.jpg
